Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9612135238,10608362688,11699687640,13688788663,16414329688,15005780240,14556124467,15713368399,14811045198,15435844138,15633673179,13223935356,13459654431,14089664054,15290031382,15151679354,15241888177
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10250000000,,,,10567000000,7970444444,8854769231,8050500000,8829934783,7126839357,7249790795,7119388489,8682300391,10185080449,12434629630,15704271123,19022424242,23458713886,31571020599,28596025779,31841490433,30079457286,31562756387,38712894144,41635133020,29851764410,26013520306,29801894116,32148704358,34757816235,31009878669
Belize,,,,,,,,,,,,,,,,,,,,,96477473.29,103104266,100010628.4,97387898.63,93474635.14,100973889.9,96919896.66,118738517.4,139090163.4,163778994.5,168639881.7,193550000,369819850,382225200,412107650,445689650,478491350,497221450,533573200,581065950.4,616476076.8,679611170.7,728602189.7,765214541.3,792794989.4,796541483.2,804500365.3,847760563,884902942,932121365.1,969030737.3,1031566290,1061314309,1119782538,1159478506,1197603429,1297539455,1271566515,1278991341,1235335333,1151155299
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3172347000,3124118000,3110046000,3135554000,3142675000,3237728000,3368443000,3512954000,3523674000,3574216000,
Bolivia,314112088.7,351758794,376967896,401592681,421125561.4,463804713.8,517676767.7,592087542.1,649158249.2,698653198.7,749410774.4,830808080.8,913125235.1,888355822.1,1418290855,1750024988,1972013993,2323288356,2635682159,2976577318,3058727569,4159869494,4073561338,3984803350,4268298516,3966672651,3222021790,3466536730,3632303084,3637436099,3741315935,4158872256,4483762595,4551692106,4641154421,5091380747,5557197612,5921505243,6378122539,6365979974,6413108434,6129841983,5835733194,5739542119,5957809476,6332707504,7188894478,8295273971,10375397400,11358006695,12241421053,14546600750,16116291375,18452846556,20766959305,22578642605,23388629609,25376260926,26996904863,27990672547,
Brazil,10051138972,9760602843,13956529618,15638607059,14631217232,14582684401,18436142916,21886420485,23902617597,25009958477,29017107275,34238487325,40778949206,53545412119,74371827325,82255120099,1.04981E+11,1.21841E+11,1.3767E+11,1.56459E+11,1.63832E+11,1.7916E+11,1.95953E+11,1.44842E+11,1.47051E+11,1.46646E+11,1.81719E+11,1.8311E+11,1.96566E+11,2.30374E+11,2.7396E+11,3.7117E+11,2.46446E+11,2.6304E+11,3.41439E+11,4.90097E+11,5.54116E+11,5.76814E+11,5.54012E+11,3.87685E+11,4.23354E+11,3.58601E+11,3.14421E+11,3.45291E+11,4.02973E+11,5.39474E+11,6.69432E+11,8.36504E+11,1.01293E+12,1.03283E+12,1.33024E+12,1.57689E+12,1.51392E+12,1.5261E+12,1.54628E+12,1.15278E+12,1.15376E+12,1.33085E+12,1.23866E+12,1.21615E+12,9.06062E+11
Barbados,,,,,,,,,,,,,,,,298469382.7,322436869.9,347468606.7,388898225,479938348.3,537562770.3,614179883.7,627952070.8,656838860.4,711977328.1,694575647.6,869189081.7,968229503.3,951325013.7,1043156168,1401034157,1454233580,1432900000,1490627952,1514890867,1680157112,1745637150,1888629245,2048128076,2192711182,2276950000,2328650000,2299650000,2147500000,2470650000,2808500000,2901646050,3351080300,3615130600,3140800400,3522718700,3642588050,3561557800,3696621900,3703119050,3616222550,3658986450,3841177250,3995055950,4081664150,
Brunei Darussalam,,,,,,,,,,,,,,,77967910.05,128621431.3,145297069.8,171763548.4,211521547.9,297525981.8,343732486.5,407535381.3,427102803.7,436346426.9,,,,,,795262267.3,932413793.1,992706645.1,1293431553,1582497834,1587010606,1734866657,1978014184,2042025862,1631214149,1587020649,1490119548,1475665681,1495955155,1791419757,2091100698,2140854362,2272263830,2469643687,2545865086,2614464458,2016868354,2366642817,2621638924,2761349105,2667719021,2558356753,2411280750,2483297994,2651269553,2754682104,2900282812
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186130546.8,159790527.7,178647503.9,133197546.7,130660114.8,133225149.6,169119475,227246827.3,251011073.7,278565220.6,212142107.3,187289203.2,239326004.9,285698458.6,331794199,427790571.4,331916099.1,644370359.3,564719792.1,606664129.8,701325179.7,713411079.8,637182885.7,1010892504,1009709694,1194203413,1120288220,1320495895,1477035656,1520691761,
Botswana,27948408.8,29786903.6,31615729.71,33292884.1,34960685.91,36646656.43,37866108.79,43932357.04,56624825.66,54797381.98,69444444.44,78537338.57,96855590.06,140901887.3,179838116.3,210682893.8,226080956.8,279038004.8,348164694.5,446809816,551595470.9,575714115,517626493.2,530403865.4,529767406,434352990.6,492230323,607570433,685825221.5,867760186.6,1259715130,1421794618,1518249040,1470265363,1628622514,1865341606,1714247037,1779774296,1768309709,1793746216,1928789839,1891426419,2032791808,2897717610,3563842826,3779772177,3926499082,4336718333,4823432641,5202379086,6284159474,7111384692,7473371088,7752147186,7628569200,7501688222,7405001284,8578251541,9226784314,9330070008,8227649657
Central African Republic,80752040.31,84807957.76,86525715.89,93055024.89,96315875.14,100791280.9,113156069.1,125609255.9,132490616.4,138867234.1,135309583,140908234.2,164664503,183050598.7,225587625.8,332690326.6,368276988.3,432270140.8,522033789.5,611597497.4,746910464.1,597166104.8,669564486.7,551592620.2,545692754.9,684225053,921035419.8,968141650.6,1020365408,969899529.3,1162945045,1091678367,1129090512,1018994034,625012720.5,858868825.4,846161684.5,751278035.1,805431901.4,747807354.6,709271975.3,756323290.5,800336429.5,945957703.2,1117713468,1197603798,1324314803,1566787643,1839314185,1788264505,1763142919,2034792141,2214065158,1413773095,1557949530,1397827551,1533296305,1719132690,1954285573,2133464883,2057439372
Canada,,25959783327,26248004729,27726265788,29759652189,32270452595,35274668478,38106696155,41668718079,45513688614,49576035984,55855614973,63767047176,72138786121,85981595092,95548564687,1.12087E+11,1.15774E+11,1.20565E+11,1.31088E+11,1.47313E+11,1.6203E+11,1.68749E+11,1.85362E+11,1.917E+11,1.98181E+11,2.10254E+11,2.38202E+11,2.77451E+11,3.11162E+11,3.32858E+11,3.5086E+11,3.42976E+11,3.33825E+11,3.28171E+11,3.38287E+11,3.55816E+11,3.72534E+11,3.61908E+11,3.81593E+11,4.06159E+11,4.07136E+11,4.26052E+11,4.98598E+11,5.61788E+11,6.37069E+11,7.17931E+11,8.03858E+11,8.45779E+11,7.91412E+11,9.21859E+11,1.00252E+12,1.02426E+12,1.03337E+12,1.00754E+12,8.99802E+11,8.93637E+11,9.56182E+11,9.97691E+11,1.00596E+12,9.43653E+11
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28212E+11,2.47082E+11,2.4409E+11,2.67138E+11,2.603E+11,2.57699E+11,2.83909E+11,3.22329E+11,3.82118E+11,4.57646E+11,5.28572E+11,5.87937E+11,7.33705E+11,8.91822E+11,7.54854E+11,7.69441E+11,8.43028E+11,7.93169E+11,8.23579E+11,8.36251E+11,7.25197E+11,7.4475E+11,8.2598E+11,9.26063E+11,9.30778E+11,9.08919E+11
Switzerland,,,,,,,,,,,13590456437,16107180870,19781664441,26748029259,31102156547,37157501646,39650773324,42973108800,59407723154,67535584892,71878284896,65601410752,67316430084,68073927397,63713419585,63887973627,90846017010,1.13728E+11,1.20448E+11,1.13934E+11,1.4349E+11,1.49003E+11,1.58487E+11,1.54126E+11,1.683E+11,1.98768E+11,1.94501E+11,1.70268E+11,1.74425E+11,1.7224E+11,1.58226E+11,1.62706E+11,1.76007E+11,2.0702E+11,2.29646E+11,2.34725E+11,2.40097E+11,2.6016E+11,2.98025E+11,2.9945E+11,3.19257E+11,3.78555E+11,3.62827E+11,3.74154E+11,3.81329E+11,3.66862E+11,3.63461E+11,3.70951E+11,3.80644E+11,3.78281E+11,3.83472E+11
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,3230180539,3615811958,4219152813,4422561547,4619119746,4431270770,5041813431,5004434548,5144333985,5982695857,6398533769,7756685723,8919265668,13602169558,10119402371,5578224500,7126512980,10165493624,11369176354,15425007098,20526428639,25952050612,19037615480,14585743523,13681103195,11965264132,12369018676,14244535125,15600493497,17970923905,20485279737,23953371368,29947009934,32490733945,36848168875,45946425469,48880522762,53609792635,52980017252,48682838280,49872347779,45326020197,44096717261,47078554108,58919325537,72402146425,84773235851,95780536191,1.07877E+11,1.01331E+11,1.27462E+11,1.51668E+11,1.64691E+11,1.74403E+11,1.64425E+11,1.54742E+11,1.58777E+11,1.75675E+11,1.89644E+11,1.76594E+11,1.49393E+11
China,30128361362,33174912666,34068567715,34291981477,36136160533,38650580876,41477780486,43931269803,43732228451,45807945406,49021041514,51263303274,59427197007,72006635166,74801142158,82186256587,81822396209,88696307460,71508130081,87563661930,97370124175,1.04267E+11,1.09432E+11,1.23408E+11,1.3177E+11,1.57396E+11,1.53435E+11,1.35596E+11,1.54982E+11,1.77692E+11,1.80402E+11,1.83702E+11,1.93284E+11,1.95665E+11,2.48798E+11,3.36086E+11,4.04659E+11,4.41335E+11,4.68269E+11,5.05488E+11,5.66091E+11,6.0969E+11,6.60468E+11,7.09072E+11,7.94084E+11,9.04943E+11,1.03898E+12,1.29124E+12,1.62123E+12,1.80229E+12,2.0895E+12,2.63702E+12,3.01926E+12,3.42938E+12,3.8454E+12,4.17828E+12,4.34447E+12,4.74477E+12,5.35255E+12,5.6046E+12,
Cote d'Ivoire,343952403.6,395059156,427805035.1,465964710.1,521915599.6,557820534.8,611775395.4,669509730.2,746471536.5,797428540.3,833565180.7,926435345.1,1091547150,1468442569,1672173388,2352635032,2579613885,3304709386,4334475754,5202574061,6388690788,5359334367,4715977870,4341505038,4082097830,4087806013,5814971714,6817093288,6937513682,6816882283,7765800134,7686387491,8183857389,7864155213,5241034809,7312574304,8345148926,7417550072,8214823652,8306997688,7365440829,7639316726,8194041861,10107981170,11213896969,11628269934,12261721095,14548060448,16613491031,16511314001,16708692885,17609440113,18057326881,20043330669,22287818327,30135670522,32167438175,35293180979,40220926372,40202825400,
Cameroon,,,,,,610052449.4,633348291.5,695932429.9,794135854.6,827817777.4,811134171.4,931519709.5,1127658212,1366149706,1493946719,2056805660,2213429132,2187400848,2958486916,4108186548,4575785038,4728012944,4072502474,4352080820,4519875796,5497225551,7428634708,8723962127,8357445020,7616416294,8197534332,7659862438,8528786988,9805372080,5514148023,6599985292,6968665160,6799254704,7394799516,7341108318,6911145181,7058751110,8043888038,10292269503,11864930593,12361092777,13450190802,15571500711,18203401345,18207710336,18366749577,20215410720,20127723426,22356555867,24135072028,21859459141,22848278855,24490112660,27272347562,27688696747,28184037775
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4964579832,4571649573,3824432045,5235191031,5774335490,4001048927,16725727465,6736189100,7389082075,8183245498,8790508213,10677884603,12134405180,13614306057,17138399144,16348269785,15624114747,18917369837,24791962461,24361691056,26386214022,28536664122,30425586168,27650602762,35718162029,36369927545,35626111261
"Congo, Rep.",127610032.3,130359302.6,137228057.5,143595969.8,154919849.6,159552196,166070765.8,184552162.7,199139971.7,213109107.9,225033647.5,245863219.3,316235191.8,337387311.8,312415911.7,542664448.2,584639903.5,564150127.1,589394811,657667463,797521604.3,1125743771,864561729,835550715.4,851571858.6,1134079664,1099048547,1300084745,1330543461,1258901378,890150069.8,1039446104,798572375.5,841434381.9,697166630.6,986044999.8,1165078299,961203996.6,886421534.8,868968927.2,758708692,944165088,902196764.3,881094631.9,1654681227,2067254873,2390467901,2961227442,3723390500,3765810232,3841714838,4329524838,4194592217,4667344888,4938010616,4474380292,4478558153,4513172788,5229635918,5360097388,6168129524
Colombia,2943982246,3363767970,3708680302,3637088744,4582541089,4293904762,4158592593,4284158354,4379898967,4759405832,5168399822,5761163480,6230158186,7221710780,8768460998,9466623555,10904568382,13604293227,16361657501,19771765264,23453381361,26384971701,28395432373,27859556795,26998179879,24069595121,22833597926,24052950722,25685005981,25814217495,30617001155,31706489219,39074794883,44396284743,53849888974,60761209067,63639591036,69402186201,64834265880,55517154181,69389535618,69267133559,68631964500,65372035018,78677997814,98829119288,1.08874E+11,1.38241E+11,1.60046E+11,1.5458E+11,1.88942E+11,2.16282E+11,2.43445E+11,2.50416E+11,2.51423E+11,2.00962E+11,1.95318E+11,2.13679E+11,2.2765E+11,2.2171E+11,1.89215E+11
Comoros,,,,,,,,,,,,,,,,,,,,,188865086.6,174747570.3,163762711,170538819.3,164374658.1,175081556.5,248478933.2,300388641.6,317278376,303906890.7,382351590.8,377448782.3,407065483.5,403054525.3,284071423.8,354621296.1,352478757.2,324347094.5,329384340.4,340373853.4,312501877.4,336866143.6,379098067.2,486713628.2,563982366.8,581905696.8,621587711.9,696961601.5,820364723.5,813046945.7,825884004.5,955631434.1,982559537.9,1065587637,1085264564,901330834.9,938002137,992370565,1076064112,1053197687,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952868829.1,1087478237,1094001419,1048876485,1171391211,1131338392,1207740881,1206481647,1041311411,1050770382,1154796300,1211827461,1220351192,1082611786
